input,output
"('experience', 'Concept', 'previous', 'Concept')",in-time
"('adjust', 'Action', 'paying attention', 'Action')",in-context
"('81.1%', 'Predicate', 'parents', 'Concept')",domain
"('paying attention', 'Action', 'ckd', 'Concept')",target
"('based on', 'Predicate', 'knowledge', 'Concept')",arg
"('based on', 'Predicate', 'experience', 'Concept')",arg
"('severity', 'Predicate', 'lymphocytopenia', 'Concept')",arg
"('severity', 'Predicate', 'severity', 'Predicate')",entails
"('attack', 'Action', 'sars-cov-2', 'Concept')",subject
"('destroy', 'Action', 'sars-cov-2', 'Concept')",subject
"('destroy', 'Action', 'lymphocyte', 'Concept')",target
"('attack', 'Action', 'lymphocyte', 'Concept')",target
"('attack', 'Action', 'severity', 'Predicate')",entails
"('destroy', 'Action', 'severity', 'Predicate')",entails
"('attack', 'Action', 'targetedly', 'Concept')",in-context
"('destroy', 'Action', 'targetedly', 'Concept')",in-context
"('cases', 'Concept', 'covid-19', 'Concept')",in-context
"('44,672', 'Predicate', 'cases', 'Concept')",domain
"('2.1%', 'Predicate', '44,672', 'Predicate')",domain
"('2.1%', 'Predicate', 'pediatric patients', 'Concept')",part-of
"('cases', 'Concept', 'china', 'Concept')",in-place
"('pediatric patients', 'Concept', '≤19 years of age', 'Concept')",has-property
"('alt', 'Concept', 'elevated', 'Concept')",in-context
"('ast', 'Concept', 'elevated', 'Concept')",in-context
"('levels', 'Predicate', 'alt', 'Concept')",domain
"('levels', 'Predicate', 'ast', 'Concept')",domain
"('levels', 'Predicate', 'on', 'Predicate')",in-time
"('injury', 'Action', 'liver', 'Concept')",target
"('injury', 'Action', 'covid-19 -related', 'Concept')",in-context
"('levels', 'Predicate', 'injury', 'Action')",entails
"('injury', 'Action', 'serious', 'Concept')",has-property
"('injury', 'Action', 'infection', 'Action')",in-time
"('on', 'Predicate', 'admission', 'Concept')",arg
"('infection', 'Action', 'initial stage', 'Concept')",in-context
"('peripheral lymphocytopenia', 'Concept', 'crucial feature', 'Concept')",has-property
"('peripheral lymphocytopenia', 'Concept', 'common feature', 'Concept')",has-property
"('common feature', 'Concept', 'infection', 'Action')",in-context
"('crucial feature', 'Concept', 'infection', 'Action')",in-context
"('patients', 'Concept', 'half', 'Concept')",in-context
"('count', 'Action', 'lymphocyte', 'Concept')",target
"('decreased', 'Action', 'count', 'Action')",target
"('decreased', 'Action', 'patients', 'Concept')",in-place
"('patients', 'Concept', 'fever', 'Concept')",has-property
"('fever', 'Concept', 'admission', 'Concept')",in-time
"('distributed', 'Action', 'mortality', 'Concept')",subject
"('distributed', 'Action', 'morbidity', 'Concept')",subject
"('covid-19', 'Concept', 'morbidity', 'Concept')",entails
"('covid-19', 'Concept', 'mortality', 'Concept')",entails
"('distributed', 'Action', 'heterogeneously', 'Concept')",has-property
"('distributed', 'Action', 'groups', 'Concept')",target
"('groups', 'Concept', 'age', 'Concept')",in-context
"('number', 'Concept', 'reproductive', 'Concept')",has-property
"('number', 'Concept', 'effective', 'Concept')",has-property
"('r', 'Concept', 'number', 'Concept')",same-as
"('different', 'Concept', 'assumptions', 'Concept')",in-context
"('sources', 'Concept', 'data', 'Concept')",in-context
"('based', 'Action', 'different', 'Concept')",target
"('based', 'Action', 'sources', 'Concept')",target
"('r', 'Concept', 'covid-19', 'Concept')",in-context
"('r', 'Concept', 'hubei', 'Concept')",in-place
"('based', 'Action', 'scenarios', 'Concept')",subject
"('r', 'Concept', 'range', 'Predicate')",has-property
"('r', 'Concept', 'scenarios', 'Concept')",in-context
"('range', 'Predicate', '2.1 to 4.2', 'Predicate')",in-context
"('damage', 'Concept', 'alveolar', 'Concept')",in-place
"('edema', 'Concept', 'inflammatory', 'Concept')",has-property
"('edema', 'Concept', 'pulmonary', 'Concept')",in-place
"('covid-19', 'Concept', 'edema', 'Concept')",entails
"('covid-19', 'Concept', 'damage', 'Concept')",entails
"('risk factor', 'Concept', 'ami', 'Concept')",in-context
"('risk factor', 'Concept', 'patients', 'Concept')",in-place
"('ncp', 'Concept', 'severity', 'Concept')",in-context
"('ncp', 'Concept', 'risk factor', 'Concept')",is-a
"('symptoms', 'Concept', 'respiratory', 'Concept')",has-property
"('symptoms', 'Concept', 'lower', 'Concept')",has-property
"('age', 'Concept', 'covid-19 ews', 'Concept')",part-of
"('symptoms', 'Concept', 'covid-19 ews', 'Concept')",part-of
"('blood', 'Concept', 'lymphocytes', 'Concept')",has-part
"('correlation', 'Action', 'high', 'Concept')",has-property
"('correlation', 'Action', 'lymphocytes', 'Concept')",target
"('progression', 'Action', 'disease', 'Concept')",target
"('correlation', 'Action', 'progression', 'Action')",in-context
"('disease', 'Concept', 'covid-19', 'Concept')",in-context
"('pathology', 'Concept', 'cellular', 'Concept')",has-property
"('pathology', 'Concept', 'covid-19', 'Concept')",in-context
"('deficiency', 'Concept', 'lymphocyte', 'Concept')",in-context
"('incapacity', 'Concept', 'lymphocyte', 'Concept')",in-context
"('is the key', 'Action', 'deficiency', 'Concept')",subject
"('is the key', 'Action', 'incapacity', 'Concept')",subject
"('correlation', 'Action', 'is the key', 'Action')",entails
"('is the key', 'Action', 'pathology', 'Concept')",target
"('severity', 'Concept', 'covid-19', 'Concept')",in-context
"('relationship', 'Action', 'severity', 'Concept')",target
"('relationship', 'Action', 'life satisfaction', 'Concept')",target
"('ndividuals', 'Concept', 'level of exercise', 'Concept')",has-property
"('level of exercise', 'Concept', 'relationship', 'Action')",causes
"('manifestations', 'Concept', 'clinical', 'Concept')",has-property
"('symptoms', 'Concept', 'manifestations', 'Concept')",is-a
"('myalgia', 'Concept', 'manifestations', 'Concept')",is-a
"('fatigue', 'Concept', 'manifestations', 'Concept')",is-a
"('covid-19', 'Concept', 'manifestations', 'Concept')",entails
"('confirmed cases', 'Concept', 'covid-19', 'Concept')",in-context
"('reduction', 'Action', 'confirmed cases', 'Concept')",target
"('reduction', 'Action', 'after about 11 days', 'Predicate')",in-time
"('reduction', 'Action', 'china', 'Concept')",in-place
"('reduction', 'Action', 'lockdown', 'Concept')",subject
"('reduction', 'Action', 'effective', 'Concept')",has-property
"('indicator', 'Action', 'covid-19', 'Concept')",target
"('indicator', 'Action', 'lymphopenia', 'Concept')",subject
"('number', 'Predicate', 'limited', 'Concept')",has-property
"('cases', 'Concept', 'pediatric', 'Concept')",has-property
"('number', 'Predicate', 'cases', 'Concept')",domain
"('susceptibility', 'Concept', 'less', 'Concept')",has-property
"('presentation', 'Concept', 'milder', 'Concept')",has-property
"('detection', 'Action', 'missed', 'Concept')",has-property
"('presentation', 'Concept', 'detection', 'Action')",causes
"('detection', 'Action', 'number', 'Predicate')",causes
"('susceptibility', 'Concept', 'number', 'Predicate')",causes
"('transmissibility', 'Concept', 'human-to-human', 'Concept')",has-property
"('covid-19', 'Concept', 'transmissibility', 'Concept')",has-property
"('spread', 'Action', 'worldwide', 'Concept')",target
"('elevation', 'Action', 'tni', 'Concept')",target
"('patients', 'Concept', 'critical', 'Concept')",in-context
"('tachycardia', 'Concept', 'risk factors', 'Predicate')",is-a
"('elevation', 'Action', 'risk factors', 'Predicate')",is-a
"('density', 'Predicate', 'low', 'Concept')",in-context
"('density', 'Predicate', 'risk factors', 'Predicate')",is-a
"('risk factors', 'Predicate', 'high', 'Concept')",in-context
"('injury', 'Action', 'cardiac', 'Concept')",target
"('risk factors', 'Predicate', 'injury', 'Action')",domain
"('density', 'Predicate', 'eat', 'Concept')",domain
"('patients', 'Concept', 'risk factors', 'Predicate')",entails
"('density', 'Predicate', 'ct scan', 'Concept')",in-place
"('leading to', 'Action', 'branch', 'Concept')",subject
"('leading to', 'Action', 'covid-19', 'Concept')",target
"('~7%', 'Predicate', 's gene sites', 'Concept')",domain
"('leading to', 'Action', 'positive diversifying selection', 'Concept')",has-property
"('some', 'Predicate', 'patients', 'Concept')",domain
"('chronic kidney disease', 'Concept', 'ckd', 'Concept')",same-as
"('past history', 'Predicate', 'chronic kidney disease', 'Concept')",in-context
"('patients', 'Concept', 'proinflammatory milieu', 'Concept')",has-property
"('patients', 'Concept', 'functional defects', 'Concept')",has-property
"('some', 'Predicate', 'chronic kidney disease', 'Concept')",has-property
"('some', 'Predicate', 'past history', 'Predicate')",has-property
"('patients', 'Concept', 'ckd', 'Concept')",in-context
"('populations', 'Predicate', 'cell', 'Concept')",domain
"('cell', 'Concept', 'innate immune', 'Concept')",in-context
"('cell', 'Concept', 'adaptive immune', 'Concept')",in-context
"('functional defects', 'Concept', 'populations', 'Predicate')",in-place
"('levels', 'Predicate', 'pct', 'Concept')",domain
"('infection', 'Concept', 'bacterial', 'Concept')",in-context
"('pneumonia', 'Concept', 'viral-mediated', 'Concept')",in-context
"('levels', 'Predicate', 'marker', 'Concept')",is-a
"('levels', 'Predicate', 'infection', 'Concept')",entails
"('levels', 'Predicate', 'elevated', 'Action')",in-context
"('pneumonia', 'Concept', 'bacteria', 'Concept')",in-context
"('quarantine', 'Concept', 'effective', 'Concept')",in-context
"('detection', 'Concept', 'rapid', 'Concept')",in-context
"('measures', 'Concept', 'enhanced', 'Concept')",has-property
"('measures', 'Concept', 'control', 'Concept')",in-context
"('testing', 'Concept', 'measures', 'Concept')",is-a
"('detection', 'Concept', 'measures', 'Concept')",is-a
"('quarantine', 'Concept', 'measures', 'Concept')",is-a
"('measures', 'Concept', 'reduction', 'Action')",entails
"('reduction', 'Action', 'cases', 'Concept')",target
"('quarantine', 'Concept', 'self-production', 'Concept')",in-context
"('quarantine', 'Concept', 'self-isolation', 'Concept')",in-context
"('testing', 'Concept', 'rapid', 'Concept')",in-context
"('quarantine', 'Concept', 'reduction', 'Action')",entails
"('detection', 'Concept', 'reduction', 'Action')",entails
"('testing', 'Concept', 'reduction', 'Action')",entails
"('cfr', 'Concept', 'covid-19', 'Concept')",in-context
"('cfr', 'Concept', 'china', 'Concept')",in-place
"('between', 'Predicate', '0.8%', 'Concept')",arg
"('between', 'Predicate', '0.9%', 'Concept')",arg
"('cfr', 'Concept', 'hubei', 'Concept')",in-place
"('cfr', 'Concept', 'between', 'Predicate')",has-property
"('authorities', 'Concept', 'health', 'Concept')",in-context
"('encouragement', 'Action', 'needed', 'Concept')",has-property
"('encouragement', 'Action', 'authorities', 'Concept')",subject
"('needed', 'Concept', 'assimilate', 'Action')",in-context
"('knowledge', 'Concept', 'covid-19-related', 'Concept')",in-context
"('assimilate', 'Action', 'hcws', 'Concept')",subject
"('assimilate', 'Action', 'knowledge', 'Concept')",target
"('assimilate', 'Action', 'doctors', 'Concept')",subject
"('numbers of total', 'Predicate', 't cells', 'Concept')",domain
"('decrease', 'Action', 't cells', 'Concept')",target
"('decrease', 'Action', 'patients', 'Concept')",in-place
"('correlated', 'Action', 'negatively', 'Concept')",in-context
"('numbers of total', 'Predicate', 'cd4 + t cells', 'Concept')",domain
"('numbers of total', 'Predicate', 'cd8 + t cells', 'Concept')",domain
"('levels', 'Predicate', 'tnf-α', 'Concept')",domain
"('levels', 'Predicate', 'il-6', 'Concept')",domain
"('correlated', 'Action', 'levels', 'Predicate')",subject
"('correlated', 'Action', 'numbers of total', 'Predicate')",subject
"('tnf-α', 'Concept', 'cytokines', 'Concept')",is-a
"('il-6', 'Concept', 'cytokines', 'Concept')",is-a
"('il-10', 'Concept', 'cytokines', 'Concept')",is-a
"('tnf-α', 'Concept', 'decrease', 'Action')",causes
"('il-6', 'Concept', 'decrease', 'Action')",causes
"('il-10', 'Concept', 'decrease', 'Action')",causes
"('characteristics', 'Concept', 'unique', 'Concept')",in-context
"('pneumonia', 'Concept', 'characteristics', 'Concept')",has-property
"('characteristics', 'Concept', 'ct scan', 'Concept')",in-place
"('other', 'Predicate', 'pathogens', 'Concept')",domain
"('other', 'Predicate', 'covid-19', 'Concept')",arg
"('pneumonia', 'Concept', 'other', 'Predicate')",in-context
"('these', 'Reference', 'results', 'Concept')",is-a
"('increased', 'Action', 'risk', 'Predicate')",subject
"('risk', 'Predicate', 'covid-19', 'Concept')",arg
"('or', 'Concept', '1.279', 'Concept')",in-context
"('increased', 'Action', 'these', 'Reference')",entails
"('increased', 'Action', 'or', 'Concept')",in-context
"('increased', 'Action', 'blood group a', 'Concept')",in-place
"('cases', 'Concept', 'severe', 'Concept')",in-context
"('covid-19', 'Concept', 'cases', 'Concept')",in-context
"('progresses', 'Action', 'rapidly', 'Concept')",has-property
"('progresses', 'Action', 'covid-19', 'Concept')",subject
"('complications', 'Concept', 'lethal', 'Concept')",in-context
"('ards', 'Concept', 'complications', 'Concept')",is-a
"('septic shock', 'Concept', 'complications', 'Concept')",is-a
"('acute cardiac injury', 'Concept', 'complications', 'Concept')",is-a
"('refractory metabolic acidosis', 'Concept', 'complications', 'Concept')",is-a
"('progresses', 'Action', 'death', 'Concept')",causes
"('progresses', 'Action', 'complications', 'Concept')",causes
"('progresses', 'Action', 'ards', 'Concept')",causes
"('progresses', 'Action', 'septic shock', 'Concept')",causes
"('progresses', 'Action', 'acute cardiac injury', 'Concept')",causes
"('progresses', 'Action', 'refractory metabolic acidosis', 'Concept')",causes
"('ground-truth label', 'Predicate', 'ct scan', 'Concept')",domain
"('ground-truth label', 'Predicate', '1', 'Concept')",has-property
"('ground-truth label', 'Predicate', '0', 'Concept')",has-property
"('covid-positive', 'Concept', 'ground-truth label', 'Predicate')",entails
"('risk distribution trend', 'Predicate', 'abo blood groups', 'Concept')",domain
"('risk distribution trend', 'Predicate', 'infection', 'Concept')",in-context
"('risk distribution trend', 'Predicate', 'similar', 'Concept')",in-context
"('113', 'Predicate', 'patients', 'Concept')",domain
"('renmin hospital of wuhan university', 'Concept', 'hospital', 'Concept')",is-a
"('renmin hospital of wuhan university', 'Concept', 'wuhan city', 'Concept')",part-of
"('113', 'Predicate', 'renmin hospital of wuhan university', 'Concept')",in-place
"('113', 'Predicate', 'risk distribution trend', 'Predicate')",has-property
"('onset', 'Action', 'symptom', 'Concept')",target
"('onset', 'Action', 't-th day', 'Concept')",in-time
"('nb', 'Concept', 'negative binomial', 'Concept')",same-as
"('case', 'Predicate', 'covid-19', 'Concept')",in-context
"('case', 'Predicate', 'onset', 'Action')",in-context
"('cases', 'Predicate', 'secondary', 'Concept')",in-context
"('number', 'Predicate', 'cases', 'Predicate')",domain
"('mean', 'Predicate', 'reff(t)', 'Concept')",arg
"('negative binomial distribution', 'Concept', 'mean', 'Predicate')",in-context
"('negative binomial distribution', 'Concept', 'dispersion parameter', 'Predicate')",in-context
"('cases', 'Predicate', 'case', 'Predicate')",domain
"('number', 'Predicate', 'negative binomial distribution', 'Concept')",has-property
"('dispersion parameter', 'Predicate', 'k', 'Concept')",arg
"('four', 'Predicate', 'patients', 'Concept')",domain
"('history', 'Concept', 'eye disease', 'Concept')",in-context
"('patients', 'Concept', 'history', 'Concept')",in-context
"('rt-pcr', 'Concept', 'positive', 'Concept')",in-context
"('swabs', 'Concept', 'pharyngeal', 'Concept')",in-context
"('conjunctival congestion', 'Concept', 'swabs', 'Concept')",in-place
"('rt-pcr', 'Concept', 'swabs', 'Concept')",in-place
"('four', 'Predicate', 'conjunctival congestion', 'Concept')",has-property
"('four', 'Predicate', 'rt-pcr', 'Concept')",has-property
"('ct', 'Concept', 'chest', 'Concept')",in-context
"('3d lung mask', 'Concept', 'volume', 'Concept')",in-context
